V1,V2,V3
0.990566037735849,0.00943396226415094,0
0.613207547169811,0.35377358490566,0.0330188679245283
0.39622641509434,0.481132075471698,0.122641509433962
0.919811320754717,0.0613207547169811,0.0188679245283019
0.0141509433962264,0.962264150943396,0.0235849056603774
0.0330188679245283,0.943396226415094,0.0235849056603774
0.325471698113208,0.641509433962264,0.0330188679245283
0.915094339622642,0.0707547169811321,0.0141509433962264
0.976415094339623,0.0188679245283019,0.00471698113207547
0.844339622641509,0.0943396226415094,0.0613207547169811
0.495283018867925,0.490566037735849,0.0141509433962264
0.429245283018868,0.528301886792453,0.0424528301886792
0.080188679245283,0.85377358490566,0.0660377358490566
0.174528301886792,0.778301886792453,0.0471698113207547
0.212264150943396,0.759433962264151,0.0283018867924528
0.69811320754717,0.245283018867925,0.0566037735849057
0.693396226415094,0.00943396226415094,0.297169811320755
