V1,V2,V3
0.964285714285714,0.0357142857142857,0
0.553571428571429,0.410714285714286,0.0357142857142857
0.696428571428571,0.267857142857143,0.0357142857142857
0.75,0.196428571428571,0.0535714285714286
0.142857142857143,0.803571428571429,0.0535714285714286
0.803571428571429,0.125,0.0714285714285714
0.964285714285714,0,0.0357142857142857
0.214285714285714,0.732142857142857,0.0535714285714286
0.339285714285714,0.625,0.0357142857142857
0.232142857142857,0.678571428571429,0.0892857142857143
0.375,0.625,0
0.767857142857143,0.196428571428571,0.0357142857142857
0.232142857142857,0.714285714285714,0.0535714285714286
0.696428571428571,0.25,0.0535714285714286
0.767857142857143,0.196428571428571,0.0357142857142857
0.25,0.696428571428571,0.0535714285714286
0.482142857142857,0.160714285714286,0.357142857142857
