V1,V2,V3
0.953051643192488,0.0469483568075117,0
0.629107981220657,0.333333333333333,0.0375586854460094
0.356807511737089,0.52112676056338,0.122065727699531
0.910798122065728,0.0704225352112676,0.0187793427230047
0.0516431924882629,0.924882629107981,0.0234741784037559
0.028169014084507,0.934272300469484,0.0375586854460094
0.300469483568075,0.666666666666667,0.0328638497652582
0.924882629107981,0.0516431924882629,0.0234741784037559
0.971830985915493,0.0187793427230047,0.00938967136150235
0.849765258215962,0.0892018779342723,0.0610328638497653
0.516431924882629,0.464788732394366,0.0187793427230047
0.394366197183099,0.55868544600939,0.0469483568075117
0.07981220657277,0.849765258215962,0.0704225352112676
0.136150234741784,0.812206572769953,0.0516431924882629
0.230046948356808,0.732394366197183,0.0375586854460094
0.694835680751174,0.244131455399061,0.0610328638497653
0.708920187793427,0.00469483568075117,0.286384976525822
